"año";"NCODI";"partoVaginal";"cesareas";"rNacVivos";"vivos_menor2500";"exitusMaternal"
2015;508,00;0;0;0;0;0
2015;46,00;0;0;0;0;0
2015;590,00;638;111;761;31;0
2015;777,00;537;62;599;22;0
2015;897,00;3392;525;4042;403;0
2015;965,00;0;0;0;0;0
2015;461,00;0;0;0;0;0
2015;376,00;63;17;80;2;0
2015;621,00;334;127;466;32;0
2015;793,00;2705;972;3729;275;0
2015;1102,00;245;148;393;17;0
2015;712,00;502;183;704;53;0
2015;32,00;0;0;0;0;0
2015;361,00;0;0;0;0;0
2015;486,00;39;18;57;0;0
2015;595,00;526;117;655;36;0
2015;433,00;97;58;155;3;0
2015;1058,00;0;0;0;0;0
2015;261,00;66;46;112;0;0
2015;730,00;742;281;1023;55;0
2015;577,00;941;220;1212;81;0
2015;788,00;1752;484;2060;209;0
2015;865,00;397;121;517;21;0
2015;979,00;0;0;0;0;0
2015;998,00;0;0;0;0;0
2015;221,00;0;0;0;0;0
2015;506,00;97;37;135;3;0
2015;727,00;578;169;757;74;0
2015;355,00;0;0;0;0;0
2015;487,00;0;0;0;0;0
2015;938,00;1679;376;2093;207;0
2015;886,00;0;0;0;0;0
2015;835,00;67;38;105;0;1
2015;999,00;0;0;0;0;0
2015;798,00;2100;507;2648;223;0
2015;504,00;0;0;0;0;0
2015;247,00;164;91;255;0;0
2015;216,00;151;115;274;9;0
2015;654,00;57;36;94;2;0
2015;65,00;0;0;0;0;0
2015;472,00;104;23;127;10;0
2015;427,00;0;0;0;0;0
2015;491,00;77;42;120;1;0
2015;551,00;49;38;87;4;0
2015;106,00;0;0;0;0;0
2015;819,00;0;0;0;0;0
2015;836,00;0;0;0;0;0
2015;915,00;0;0;0;0;0
2015;942,00;0;0;0;0;0
2015;748,00;1567;439;2054;188;0
2015;198,00;0;0;0;0;0
2015;871,00;454;130;187;24;0
2015;948,00;72;79;153;0;0
2015;1051,00;0;0;0;0;0
2015;1083,00;0;0;0;0;0
2015;1096,00;0;0;0;0;0
2015;679,00;1095;365;1485;121;0
2015;176,00;0;0;0;0;0
