"año";"NCODI";"60_totalCompra";"600_producFarma";"601_materialSani";"601_1_implantes";"601_2_restoMateriaSani";"606_servContratado";"607_trabajoContratado";"60X_restoCompras";"61_variaExistencias";"62_servExteriores";"628_sumistro";"62X_restoServiExter";"64_gastoPersonal";"640_sueldos";"641_indemnizacion";"642_SegSocEmpresa";"643_649_OtrGasSocial";"68_dotaAmortizacion";"69_perdidaDeterioro";"6X_restoGasto";"tot_compraGasto"
2015;391,00;561322;475043;0;0;0;0;77030;9249;0;644744;42856;601888;938341;720745;19200;195315;3081;194137;0;37701;2376245
2015;240,00;5281963;1134009;2735719;987795;1747924;154368;1036083;221784;29225;3875036;205312;3669724;8622001;6851660;0;1738389;31952;843960;127538;4360136;23139859
2015;448,00;2759322;702272;1834386;37021;1797365;0;0;222664;135279;1999037;456509;1542528;13599975;10887242;0;2712494;239;0;0;2066;18495679
2015;151,00;723578;176335;179405;0;179405;0;93108;274730;0;39527;9132;30395;5719520;4299175;0;1420345;0;110520;0;58315;6651460
2015;425,00;1786516;308108;759739;47912;711827;756;636968;80945;0;578975;193430;385545;8566065;6202748;760182;1603135;0;0;0;0;10931556
2015;300,00;4260579;179604;535305;176303;359002;2291500;1019770;234400;14950;971820;170226;801594;3902289;3079900;18725;795560;8104;220575;517621;78324;9966158
2015;339,00;7240469;2071431;4476293;1125315;3350978;12673;595274;84798;-164378;4278471;295497;3982974;8513114;6567028;5900;1730794;209392;922000;203602;7542057;28535335
2015;826,00;1656176;3950;5823;0;5823;165285;643710;837408;0;352789;211181;141608;1748616;1361889;0;355420;31307;51769;0;594755;4404105
2015;874,00;16582102;9977510;5973894;891263;5082631;0;175811;454887;132197;5541981;736811;4805170;61029312;48693910;12268414;66988;0;1101924;0;22929;84410445
2015;905,00;114020588;53181374;47098797;11413322;35685475;0;9427326;4313091;-1286628;10032586;2425501;7607085;190042269;139795054;0;50154644;92571;2292247;0;722020;315823082
2015;736,00;191426390;78158789;54586548;15544875;39041673;6669007;51520170;491876;-394;5227091;1322385;3904706;208326403;163778907;0;43874496;673000;2602714;0;0;407582204
2015;459,00;785111;0;249682;11018;238664;0;155174;380255;0;579543;101602;477941;2382112;1855854;0;510561;15697;338350;0;97402;4182518
2015;320,00;4651652;211317;616360;142744;473616;2646495;1092834;84646;-35330;734933;169543;565390;4608130;3249113;0;984519;374498;457560;40626;3987;10461558
2015;45,00;2020801;422904;129734;0;129734;0;434199;1033964;1999;859144;376007;483137;6838090;5138978;6800;1642803;49509;614356;0;471317;10805707
2015;618,00;18826289;9172125;4439366;901641;3537725;306311;4664779;243708;0;674346;582074;92272;29138878;23143311;0;5995567;0;0;0;64312;48703825
2015;463,00;30139659;15706745;7543924;1683522;5860402;1177032;5391929;320029;110000;4585264;1373200;3212064;47166207;37324420;42998;9790434;8355;;0;0;82001130
2015;891,00;9606463;2310860;4308926;1732643;2576283;1180982;1532909;272786;-43632;3517555;457479;3060076;6392269;4835679;85000;1464290;7300;294805;186668;54336;20008464
2015;958,00;37948351;21144721;9622636;2492480;7130156;2635650;2534988;2010356;-169922;2447753;1021598;1426155;60352066;48072536;0;12195504;84026;0;0;185166;100763414
2015;244,00;1223114;383695;99748;0;99748;0;679743;59928;-7244;538455;108265;430190;1548215;1192286;0;351759;4170;292734;4890;146175;3746339
2015;28,00;451791;116914;27527;0;27527;0;141825;165525;0;59350;38825;20525;1303071;990251;0;312820;0;0;0;824;1815036
2015;444,00;6829091;316264;1135411;78382;1057029;4809942;469830;97644;125940;549097;188353;360744;2616875;2000576;45868;559911;10520;605932;0;461093;11188028
2015;479,00;1220169;143171;238565;42124;196441;247984;531525;58924;0;431570;163188;268382;2610893;1999420;0;609874;1599;276143;0;19237;4558012
2015;285,00;9981228;3416393;2612320;322533;2289787;3307925;298606;345984;12532;1436633;1064294;372339;9873765;7324522;33000;2464236;52007;949982;39617;141954;22435711
