"año";"NCODI";"Urg_altas";"Urg_ingresos";"Urg_traslados";"Urg_exitus";"Urg_total"
2012;707,00;122059;20876;841;102;143878
2012;395,00;4637;41;0;0;4678
2012;969,00;23912;711;105;0;24728
2012;1052,00;0;0;0;0;0
2012;739,00;173978;23195;3811;87;201071
2012;613,00;114587;18213;436;80;133316
2012;593,00;59688;9358;660;76;69782
2012;704,00;133182;14355;1085;119;148741
2012;493,00;0;0;0;0;0
2012;686,00;116579;14887;908;92;132466
2012;257,00;57138;3977;8;1;61124
2012;494,00;62;0;3;0;65
2012;681,00;4995;1334;0;2;6331
2012;286,00;30965;2116;444;0;33525
2012;255,00;56486;2182;56;0;58724
2012;79,00;0;0;0;0;0
2012;81,00;0;0;0;0;0
2012;688,00;56029;9545;605;60;66239
2012;531,00;47152;7845;503;82;55582
2012;514,00;23448;2044;446;16;25954
2012;499,00;6412;1557;124;0;8093
2012;532,00;54934;7096;975;44;63049
2012;190,00;0;0;0;0;0
2012;598,00;21491;2507;482;31;24511
2012;260,00;98530;8113;89;6;106738
2012;838,00;16532;506;315;0;17353
2012;839,00;6185;77;16;0;6278
2012;851,00;0;0;0;0;0
2012;852,00;89434;13748;180;87;103449
2012;988,00;0;0;0;0;0
2012;1056,00;73425;9500;222;77;83224
2012;1044,00;0;0;0;0;0
2012;644,00;91802;14631;306;47;106786
2012;752,00;79564;14282;1233;58;95137
2012;238,00;14501;650;4;0;15155
2012;325,00;0;0;0;0;0
2012;622,00;23072;3038;454;11;26575
2012;879,00;7818;125;8;2;7953
2012;906,00;50356;494;14;2;50866
2012;370,00;1425;3991;73;33;5522
